condition,technique,trial,fired,latency_sec
tetragon_only,T1059,1,1,28.66
tetragon_only,T1059,2,1,28.47
tetragon_only,T1059,3,1,28.67
tetragon_only,T1059,4,1,28.67
tetragon_only,T1059,5,1,28.67
tetragon_only,T1059,6,1,28.67
tetragon_only,T1059,7,1,28.67
tetragon_only,T1059,8,1,28.67
tetragon_only,T1059,9,1,28.67
tetragon_only,T1059,10,1,28.67
tetragon_only,T1021,1,0,60.14
tetragon_only,T1021,2,0,60.14
tetragon_only,T1021,3,0,60.14
tetragon_only,T1021,4,0,60.14
tetragon_only,T1021,5,0,60.13
tetragon_only,T1021,6,0,60.14
tetragon_only,T1021,7,0,60.14
tetragon_only,T1021,8,0,60.15
tetragon_only,T1021,9,0,60.14
tetragon_only,T1021,10,0,60.14
tetragon_only,T1552,1,0,60.14
tetragon_only,T1552,2,0,60.14
tetragon_only,T1552,3,0,60.13
tetragon_only,T1552,4,0,60.15
tetragon_only,T1552,5,0,60.14
tetragon_only,T1552,6,0,60.14
tetragon_only,T1552,7,0,60.14
tetragon_only,T1552,8,0,60.14
tetragon_only,T1552,9,0,60.15
tetragon_only,T1552,10,0,60.15
tetragon_only,T1610,1,1,22.45
tetragon_only,T1610,2,1,22.05
tetragon_only,T1610,3,1,22.46
tetragon_only,T1610,4,1,23.85
tetragon_only,T1610,5,1,22.45
tetragon_only,T1610,6,1,22.25
tetragon_only,T1610,7,1,22.25
tetragon_only,T1610,8,1,22.24
tetragon_only,T1610,9,1,22.24
tetragon_only,T1610,10,1,22.07
tetragon_only,T1611,1,1,28.68
tetragon_only,T1611,2,1,28.86
tetragon_only,T1611,3,1,28.66
tetragon_only,T1611,4,1,28.67
tetragon_only,T1611,5,1,28.86
tetragon_only,T1611,6,1,28.66
tetragon_only,T1611,7,1,28.66
tetragon_only,T1611,8,1,28.86
tetragon_only,T1611,9,1,28.48
tetragon_only,T1611,10,1,28.69
tetragon_only,T1548,1,1,28.66
tetragon_only,T1548,2,1,28.69
tetragon_only,T1548,3,1,28.66
tetragon_only,T1548,4,1,28.5
tetragon_only,T1548,5,1,28.66
tetragon_only,T1548,6,1,28.66
tetragon_only,T1548,7,1,28.67
tetragon_only,T1548,8,1,28.67
tetragon_only,T1548,9,1,28.66
tetragon_only,T1548,10,1,28.88
tetragon_only,T1496,1,1,28.67
tetragon_only,T1496,2,1,28.87
tetragon_only,T1496,3,1,28.66
tetragon_only,T1496,4,1,28.86
tetragon_only,T1496,5,1,28.66
tetragon_only,T1496,6,1,28.46
tetragon_only,T1496,7,1,28.86
tetragon_only,T1496,8,1,28.66
tetragon_only,T1496,9,1,28.68
tetragon_only,T1496,10,1,28.67
tetragon_only,T1499,1,1,28.88
tetragon_only,T1499,2,1,28.65
tetragon_only,T1499,3,1,28.67
tetragon_only,T1499,4,1,28.86
tetragon_only,T1499,5,1,28.47
tetragon_only,T1499,6,1,28.66
tetragon_only,T1499,7,1,28.66
tetragon_only,T1499,8,1,28.86
tetragon_only,T1499,9,1,28.67
tetragon_only,T1499,10,1,28.26
tetragon_only,T1613,1,0,60.13
tetragon_only,T1613,2,0,60.13
tetragon_only,T1613,3,0,60.13
tetragon_only,T1613,4,0,60.15
tetragon_only,T1613,5,0,60.14
tetragon_only,T1613,6,0,60.16
tetragon_only,T1613,7,0,60.15
tetragon_only,T1613,8,0,60.14
tetragon_only,T1613,9,0,60.12
tetragon_only,T1613,10,0,60.14
tetragon_only,T1548-PRIV-POD,1,0,60.15
tetragon_only,T1548-PRIV-POD,2,0,60.16
tetragon_only,T1548-PRIV-POD,3,0,60.13
tetragon_only,T1548-PRIV-POD,4,0,60.13
tetragon_only,T1548-PRIV-POD,5,0,60.15
tetragon_only,T1548-PRIV-POD,6,0,60.12
tetragon_only,T1548-PRIV-POD,7,0,60.15
tetragon_only,T1548-PRIV-POD,8,0,60.18
tetragon_only,T1548-PRIV-POD,9,0,60.15
tetragon_only,T1548-PRIV-POD,10,0,60.15
tetragon_only,T1548.005,1,0,60.13
tetragon_only,T1548.005,2,0,60.12
tetragon_only,T1548.005,3,0,60.13
tetragon_only,T1548.005,4,0,60.13
tetragon_only,T1548.005,5,0,60.12
tetragon_only,T1548.005,6,0,60.12
tetragon_only,T1548.005,7,0,60.15
tetragon_only,T1548.005,8,0,60.13
tetragon_only,T1548.005,9,0,60.13
tetragon_only,T1548.005,10,0,60.13
audit_only,T1059,1,0,60.13
audit_only,T1059,2,0,60.14
audit_only,T1059,3,0,60.13
audit_only,T1059,4,0,60.14
audit_only,T1059,5,0,60.14
audit_only,T1059,6,0,60.13
audit_only,T1059,7,0,60.14
audit_only,T1059,8,0,60.14
audit_only,T1059,9,0,60.14
audit_only,T1059,10,0,60.15
audit_only,T1021,1,1,0.0
audit_only,T1021,2,1,0.0
audit_only,T1021,3,1,0.0
audit_only,T1021,4,1,0.0
audit_only,T1021,5,1,0.0
audit_only,T1021,6,1,0.0
audit_only,T1021,7,1,0.0
audit_only,T1021,8,1,0.0
audit_only,T1021,9,1,0.0
audit_only,T1021,10,1,0.0
audit_only,T1552,1,1,0.0
audit_only,T1552,2,1,0.0
audit_only,T1552,3,1,0.0
audit_only,T1552,4,1,0.0
audit_only,T1552,5,1,0.0
audit_only,T1552,6,1,0.0
audit_only,T1552,7,1,0.0
audit_only,T1552,8,1,0.0
audit_only,T1552,9,1,0.0
audit_only,T1552,10,1,0.0
audit_only,T1610,1,0,60.14
audit_only,T1610,2,0,60.14
audit_only,T1610,3,0,60.13
audit_only,T1610,4,0,60.13
audit_only,T1610,5,0,60.14
audit_only,T1610,6,0,60.13
audit_only,T1610,7,0,60.13
audit_only,T1610,8,0,60.13
audit_only,T1610,9,0,60.13
audit_only,T1610,10,0,60.14
audit_only,T1611,1,0,60.13
audit_only,T1611,2,0,60.14
audit_only,T1611,3,0,60.14
audit_only,T1611,4,0,60.13
audit_only,T1611,5,0,60.13
audit_only,T1611,6,0,60.13
audit_only,T1611,7,0,60.13
audit_only,T1611,8,0,60.13
audit_only,T1611,9,0,60.13
audit_only,T1611,10,0,60.14
audit_only,T1548,1,0,60.13
audit_only,T1548,2,0,60.13
audit_only,T1548,3,0,60.13
audit_only,T1548,4,0,60.14
audit_only,T1548,5,0,60.12
audit_only,T1548,6,0,60.13
audit_only,T1548,7,0,60.13
audit_only,T1548,8,0,60.13
audit_only,T1548,9,0,60.14
audit_only,T1548,10,0,60.13
audit_only,T1496,1,0,60.13
audit_only,T1496,2,0,60.13
audit_only,T1496,3,0,60.13
audit_only,T1496,4,0,60.13
audit_only,T1496,5,0,60.1
