chain_type,code_version,trial,fired,latency_sec
T1059->T1552,new,1,1,26.09
T1059->T1552,new,2,1,27.28
T1059->T1552,new,3,1,26.96
T1059->T1552,new,4,1,27.47
T1059->T1552,new,5,1,27.28
T1059->T1552,new,6,1,27.27
T1059->T1552,new,7,1,27.27
T1059->T1552,new,8,1,27.47
T1059->T1552,new,9,1,27.27
T1059->T1552,new,10,1,27.47
T1021->T1059->T1552,new,1,1,27.48
T1021->T1059->T1552,new,2,1,27.47
T1021->T1059->T1552,new,3,1,27.27
T1021->T1059->T1552,new,4,1,27.28
T1021->T1059->T1552,new,5,1,27.28
T1021->T1059->T1552,new,6,1,27.28
T1021->T1059->T1552,new,7,1,27.27
T1021->T1059->T1552,new,8,1,27.47
T1021->T1059->T1552,new,9,1,27.28
T1021->T1059->T1552,new,10,1,27.27
T1059->T1610->T1552,new,1,1,22.47
T1059->T1610->T1552,new,2,1,22.65
T1059->T1610->T1552,new,3,1,22.66
T1059->T1610->T1552,new,4,1,20.66
T1059->T1610->T1552,new,5,1,20.66
T1059->T1610->T1552,new,6,1,22.27
T1059->T1610->T1552,new,7,1,22.68
T1059->T1610->T1552,new,8,1,22.68
T1059->T1610->T1552,new,9,1,22.67
T1059->T1610->T1552,new,10,1,22.46
T1059->T1548->T1611,new,1,1,29.09
T1059->T1548->T1611,new,2,1,28.51
T1059->T1548->T1611,new,3,1,26.87
T1059->T1548->T1611,new,4,1,27.77
T1059->T1548->T1611,new,5,1,28.31
T1059->T1548->T1611,new,6,1,27.17
T1059->T1548->T1611,new,7,1,28.49
T1059->T1548->T1611,new,8,1,27.07
T1059->T1548->T1611,new,9,1,27.13
T1059->T1548->T1611,new,10,1,26.57
T1611->T1552,new,1,1,12.24
T1611->T1552,new,2,1,26.94
T1611->T1552,new,3,1,27.91
T1611->T1552,new,4,1,27.88
T1611->T1552,new,5,1,27.92
T1611->T1552,new,6,1,28.5
T1611->T1552,new,7,1,28.28
T1611->T1552,new,8,1,28.29
T1611->T1552,new,9,1,28.33
T1611->T1552,new,10,1,28.28
