technique,trial_type,trial,fired,latency_sec,severity
T1059,attack,1,1,29.71,MEDIUM
T1059,attack,2,1,29.9,MEDIUM
T1059,attack,3,1,29.68,MEDIUM
T1059,attack,4,1,29.69,MEDIUM
T1059,attack,5,1,29.68,MEDIUM
T1059,attack,6,1,29.69,MEDIUM
T1059,attack,7,1,29.48,LOW
T1059,attack,8,1,29.4,MEDIUM
T1059,attack,9,1,29.5,MEDIUM
T1059,attack,10,1,29.48,MEDIUM
T1059,benign,1,1,29.69,MEDIUM
T1059,benign,2,1,29.72,MEDIUM
T1059,benign,3,1,29.68,MEDIUM
T1059,benign,4,1,29.1,MEDIUM
T1059,benign,5,1,29.68,MEDIUM
T1059,benign,6,1,29.68,MEDIUM
T1059,benign,7,1,29.87,MEDIUM
T1059,benign,8,1,29.69,MEDIUM
T1059,benign,9,1,29.7,MEDIUM
T1059,benign,10,1,29.68,MEDIUM
T1021,attack,1,1,0.0,MEDIUM
T1021,attack,2,1,0.0,MEDIUM
T1021,attack,3,1,0.0,MEDIUM
T1021,attack,4,1,0.0,MEDIUM
T1021,attack,5,1,0.0,MEDIUM
T1021,attack,6,1,0.0,MEDIUM
T1021,attack,7,1,0.0,MEDIUM
T1021,attack,8,1,0.0,MEDIUM
T1021,attack,9,1,0.0,MEDIUM
T1021,attack,10,1,0.0,MEDIUM
T1021,benign,1,1,0.0,MEDIUM
T1021,benign,2,1,0.0,MEDIUM
T1021,benign,3,1,0.0,MEDIUM
T1021,benign,4,1,0.0,MEDIUM
T1021,benign,5,1,0.0,MEDIUM
T1021,benign,6,1,0.0,MEDIUM
T1021,benign,7,1,0.0,MEDIUM
T1021,benign,8,1,0.0,MEDIUM
T1021,benign,9,1,0.0,MEDIUM
T1021,benign,10,1,0.0,MEDIUM
T1552,attack,1,1,0.0,HIGH
T1552,attack,2,1,0.0,HIGH
T1552,attack,3,1,0.0,HIGH
T1552,attack,4,1,0.0,HIGH
T1552,attack,5,1,0.0,HIGH
T1552,attack,6,1,0.0,HIGH
T1552,attack,7,1,0.0,HIGH
T1552,attack,8,1,0.0,HIGH
T1552,attack,9,1,0.0,HIGH
T1552,attack,10,1,0.0,HIGH
T1552,benign,1,0,60.18,
T1552,benign,2,0,60.17,
T1552,benign,3,0,60.18,
T1552,benign,4,0,60.14,
T1552,benign,5,0,60.17,
T1552,benign,6,0,60.18,
T1552,benign,7,0,60.17,
T1552,benign,8,0,60.18,
T1552,benign,9,0,60.02,
T1552,benign,10,0,60.16,
T1610,attack,1,1,23.47,MEDIUM
T1610,attack,2,1,23.09,MEDIUM
T1610,attack,3,1,23.26,MEDIUM
T1610,attack,4,1,23.26,MEDIUM
T1610,attack,5,1,23.47,MEDIUM
T1610,attack,6,1,23.25,MEDIUM
T1610,attack,7,1,23.28,MEDIUM
T1610,attack,8,1,23.06,MEDIUM
T1610,attack,9,1,23.3,MEDIUM
T1610,attack,10,1,23.46,MEDIUM
T1610,benign,1,0,60.15,
T1610,benign,2,0,60.16,
T1610,benign,3,0,60.2,
T1610,benign,4,0,60.17,
T1610,benign,5,0,60.17,
T1610,benign,6,0,60.16,
T1610,benign,7,0,60.19,
T1610,benign,8,0,60.17,
T1610,benign,9,0,60.17,
T1610,benign,10,0,60.16,
T1611,attack,1,1,3.62,HIGH
T1611,attack,2,1,3.41,HIGH
T1611,attack,3,1,4.61,HIGH
T1611,attack,4,1,1.8,HIGH
T1611,attack,5,1,3.61,HIGH
T1611,attack,6,1,3.81,HIGH
T1611,attack,7,1,3.61,HIGH
T1611,attack,8,1,3.82,HIGH
T1611,attack,9,1,1.6,HIGH
T1611,attack,10,1,0.0,HIGH
T1611,benign,1,1,3.21,HIGH
T1611,benign,2,1,3.82,HIGH
T1611,benign,3,1,3.61,HIGH
T1611,benign,4,1,3.61,HIGH
T1611,benign,5,1,3.61,HIGH
T1611,benign,6,1,3.81,HIGH
T1611,benign,7,1,3.61,HIGH
T1611,benign,8,1,3.61,HIGH
T1611,benign,9,1,3.61,HIGH
T1611,benign,10,1,0.0,HIGH
T1548,attack,1,1,29.12,HIGH
T1548,attack,2,1,29.91,HIGH
T1548,attack,3,1,29.68,HIGH
T1548,attack,4,1,29.7,HIGH
T1548,attack,5,1,29.67,HIGH
T1548,attack,6,1,29.68,HIGH
T1548,attack,7,1,29.68,HIGH
T1548,attack,8,1,29.49,HIGH
T1548,attack,9,1,29.69,HIGH
T1548,attack,10,1,29.51,HIGH
T1548,benign,1,1,29.48,HIGH
T1548,benign,2,1,29.48,HIGH
T1548,benign,3,1,29.88,HIGH
T1548,benign,4,1,29.48,HIGH
T1548,benign,5,1,29.68,HIGH
T1548,benign,6,1,29.52,HIGH
T1548,benign,7,1,29.74,HIGH
T1548,benign,8,1,29.67,HIGH
T1548,benign,9,1,29.69,HIGH
T1548,benign,10,1,29.68,HIGH
T1499,attack,1,1,29.7,HIGH
T1499,attack,2,1,29.67,HIGH
T1499,attack,3,1,29.67,HIGH
T1499,attack,4,1,29.67,HIGH
T1499,attack,5,1,29.68,HIGH
T1499,attack,6,1,29.67,HIGH
T1499,attack,7,1,29.7,HIGH
T1499,attack,8,1,29.7,HIGH
T1499,attack,9,1,29.29,HIGH
T1499,attack,10,1,29.47,HIGH
T1499,benign,1,0,60.19,
T1499,benign,2,0,60.2,
T1499,benign,3,0,60.2,
T1499,benign,4,0,60.2,
T1499,benign,5,0,60.16,
T1499,benign,6,0,60.17,
T1499,benign,7,0,60.18,
T1499,benign,8,0,60.15,
T1499,benign,9,0,60.02,
T1499,benign,10,0,60.16,
T1496,attack,1,1,29.67,HIGH
T1496,attack,2,1,29.68,HIGH
T1496,attack,3,1,29.68,HIGH
T1496,attack,4,1,28.48,HIGH
T1496,attack,5,1,29.47,HIGH
T1496,attack,6,1,29.67,HIGH
T1496,attack,7,1,29.67,HIGH
T1496,attack,8,1,29.68,HIGH
T1496,attack,9,1,29.69,HIGH
T1496,attack,10,1,29.67,HIGH
T1613,attack,1,1,0.0,MEDIUM
T1613,attack,2,1,0.0,MEDIUM
T1613,attack,3,1,0.0,MEDIUM
T1613,attack,4,1,0.0,MEDIUM
T1613,attack,5,1,0.0,MEDIUM
T1613,attack,6,1,0.0,MEDIUM
T1613,attack,7,1,0.0,MEDIUM
T1613,attack,8,1,0.0,MEDIUM
T1613,attack,9,1,0.0,MEDIUM
T1613,attack,10,1,0.0,MEDIUM
T1548-PRIV-POD,attack,1,1,0.0,HIGH
T1548-PRIV-POD,attack,2,1,0.0,HIGH
T1548-PRIV-POD,attack,3,1,0.0,HIGH
T1548-PRIV-POD,attack,4,1,0.0,HIGH
T1548-PRIV-POD,attack,5,1,0.0,HIGH
T1548-PRIV-POD,attack,6,1,0.0,HIGH
T1548-PRIV-POD,attack,7,1,0.0,HIGH
T1548-PRIV-POD,attack,8,1,0.0,HIGH
T1548-PRIV-POD,attack,9,1,0.0,HIGH
T1548-PRIV-POD,attack,10,1,0.0,HIGH
T1548.005,attack,1,1,0.0,CRITICAL
T1548.005,attack,2,1,0.0,CRITICAL
T1548.005,attack,3,1,0.0,CRITICAL
T1548.005,attack,4,1,0.0,CRITICAL
T1548.005,attack,5,1,0.0,CRITICAL
T1548.005,attack,6,1,0.0,CRITICAL
T1548.005,attack,7,1,0.0,CRITICAL
T1548.005,attack,8,1,0.0,CRITICAL
T1548.005,attack,9,1,0.0,CRITICAL
T1548.005,attack,10,1,0.0,CRITICAL
