mode,technique,independent_var,trial,attack_intensity,fired,latency_sec
evasion,T1610,just_under,1,4,0,60.16
evasion,T1610,just_under,2,4,0,60.07
evasion,T1610,just_under,3,4,0,60.04
evasion,T1610,just_under,4,4,0,60.02
evasion,T1610,just_under,5,4,0,60.17
evasion,T1610,just_under,6,4,0,60.18
evasion,T1610,just_under,7,4,0,60.0
evasion,T1610,just_under,8,4,0,60.18
evasion,T1610,just_under,9,4,0,60.2
evasion,T1610,just_under,10,4,0,60.17
evasion,T1610,at_threshold,1,5,1,23.86
evasion,T1610,at_threshold,2,5,1,23.07
evasion,T1610,at_threshold,3,5,1,23.06
evasion,T1610,at_threshold,4,5,1,22.67
evasion,T1610,at_threshold,5,5,1,23.47
evasion,T1610,at_threshold,6,5,1,22.46
evasion,T1610,at_threshold,7,5,1,23.27
evasion,T1610,at_threshold,8,5,1,22.7
evasion,T1610,at_threshold,9,5,1,22.3
evasion,T1610,at_threshold,10,5,1,22.67
evasion,T1499,just_under,1,15,0,60.02
evasion,T1499,just_under,2,15,0,60.15
evasion,T1499,just_under,3,15,0,60.14
evasion,T1499,just_under,4,15,0,60.14
evasion,T1499,just_under,5,15,0,60.19
evasion,T1499,just_under,6,15,0,60.17
evasion,T1499,just_under,7,15,0,60.17
evasion,T1499,just_under,8,15,0,60.14
evasion,T1499,just_under,9,15,0,60.16
evasion,T1499,just_under,10,15,0,60.16
evasion,T1499,at_threshold,1,25,1,29.86
evasion,T1499,at_threshold,2,25,1,29.67
evasion,T1499,at_threshold,3,25,1,29.7
evasion,T1499,at_threshold,4,25,1,29.68
evasion,T1499,at_threshold,5,25,1,29.68
evasion,T1499,at_threshold,6,25,1,29.66
evasion,T1499,at_threshold,7,25,1,29.69
evasion,T1499,at_threshold,8,25,1,29.67
evasion,T1499,at_threshold,9,25,1,30.11
evasion,T1499,at_threshold,10,25,1,28.88
evasion,T1613,just_under,1,9,0,60.16
evasion,T1613,just_under,2,9,0,60.08
evasion,T1613,just_under,3,9,0,60.14
evasion,T1613,just_under,4,9,0,60.15
evasion,T1613,just_under,5,9,0,60.16
evasion,T1613,just_under,6,9,0,60.15
evasion,T1613,just_under,7,9,0,60.15
evasion,T1613,just_under,8,9,0,60.18
evasion,T1613,just_under,9,9,0,60.19
evasion,T1613,just_under,10,9,0,60.15
evasion,T1613,at_threshold,1,10,1,0.0
evasion,T1613,at_threshold,2,10,1,0.0
evasion,T1613,at_threshold,3,10,1,0.0
evasion,T1613,at_threshold,4,10,1,0.0
evasion,T1613,at_threshold,5,10,1,0.0
evasion,T1613,at_threshold,6,10,1,0.0
evasion,T1613,at_threshold,7,10,1,0.0
evasion,T1613,at_threshold,8,10,1,0.0
evasion,T1613,at_threshold,9,10,1,0.0
evasion,T1613,at_threshold,10,10,1,0.0
