condition,technique,trial,fired,latency_sec
tetragon_only,T1059,1,1,29.66
tetragon_only,T1059,2,1,28.66
tetragon_only,T1021,1,0,60.14
tetragon_only,T1021,2,0,60.14
tetragon_only,T1552,1,0,60.16
tetragon_only,T1552,2,0,60.14
tetragon_only,T1610,1,1,23.45
tetragon_only,T1610,2,1,22.45
tetragon_only,T1611,1,1,28.67
tetragon_only,T1611,2,1,28.66
tetragon_only,T1548,1,1,28.48
tetragon_only,T1548,2,1,28.07
tetragon_only,T1496,1,1,28.29
tetragon_only,T1496,2,1,28.3
tetragon_only,T1499,1,1,28.47
tetragon_only,T1499,2,1,28.68
tetragon_only,T1613,1,0,60.12
tetragon_only,T1613,2,0,60.14
tetragon_only,T1548-PRIV-POD,1,0,60.11
tetragon_only,T1548-PRIV-POD,2,0,60.13
tetragon_only,T1548.005,1,0,60.14
tetragon_only,T1548.005,2,0,60.12
audit_only,T1059,1,0,60.14
audit_only,T1059,2,0,60.13
audit_only,T1021,1,1,0.0
audit_only,T1021,2,1,0.0
audit_only,T1552,1,1,0.0
audit_only,T1552,2,1,0.0
audit_only,T1610,1,0,60.12
audit_only,T1610,2,0,60.13
audit_only,T1611,1,0,60.14
audit_only,T1611,2,0,60.2
audit_only,T1548,1,0,60.11
audit_only,T1548,2,0,60.16
audit_only,T1496,1,0,60.16
audit_only,T1496,2,0,60.13
audit_only,T1499,1,0,60.13
audit_only,T1499,2,0,60.01
audit_only,T1613,1,1,0.0
audit_only,T1613,2,1,0.0
audit_only,T1548-PRIV-POD,1,1,0.0
audit_only,T1548-PRIV-POD,2,1,0.0
audit_only,T1548.005,1,1,0.0
audit_only,T1548.005,2,1,0.0
fused,T1059,1,1,29.55
fused,T1059,2,1,28.71
fused,T1021,1,1,0.0
fused,T1021,2,1,0.0
fused,T1552,1,1,0.0
fused,T1552,2,1,0.0
fused,T1610,1,1,0.0
fused,T1610,2,1,12.66
fused,T1611,1,1,0.8
fused,T1611,2,1,0.8
fused,T1548,1,1,28.68
fused,T1548,2,1,28.49
fused,T1496,1,1,28.87
fused,T1496,2,1,28.67
fused,T1499,1,1,28.69
fused,T1499,2,1,28.67
fused,T1613,1,1,0.0
fused,T1613,2,1,0.0
fused,T1548-PRIV-POD,1,1,0.0
fused,T1548-PRIV-POD,2,1,0.0
fused,T1548.005,1,1,0.0
fused,T1548.005,2,1,0.0
