technique,trial_type,trial,fired,latency_sec,severity
T1059,attack,1,1,29.1,MEDIUM
T1059,attack,2,1,29.28,MEDIUM
T1059,attack,3,1,29.68,MEDIUM
T1059,benign,1,1,29.68,MEDIUM
T1059,benign,2,1,29.67,MEDIUM
T1059,benign,3,1,29.68,MEDIUM
T1021,attack,1,1,0.0,MEDIUM
T1021,attack,2,1,0.0,MEDIUM
T1021,attack,3,1,0.0,MEDIUM
T1021,benign,1,1,0.0,MEDIUM
T1021,benign,2,1,0.0,MEDIUM
T1021,benign,3,1,0.0,MEDIUM
T1552,attack,1,1,0.0,HIGH
T1552,attack,2,1,0.0,HIGH
T1552,attack,3,1,0.0,HIGH
T1552,benign,1,0,60.15,
T1552,benign,2,0,60.15,
T1552,benign,3,0,60.18,
T1610,attack,1,1,22.46,MEDIUM
T1610,attack,2,1,23.26,MEDIUM
T1610,attack,3,1,23.47,MEDIUM
T1610,benign,1,0,60.15,
T1610,benign,2,0,60.15,
T1610,benign,3,0,60.16,
T1611,attack,1,1,2.41,HIGH
T1611,attack,2,1,1.81,HIGH
T1611,attack,3,1,3.61,HIGH
T1611,benign,1,1,3.81,HIGH
T1611,benign,2,1,3.61,HIGH
T1611,benign,3,1,1.6,HIGH
T1548,attack,1,1,29.87,HIGH
T1548,attack,2,1,29.49,HIGH
T1548,attack,3,1,29.67,HIGH
T1548,benign,1,1,29.87,HIGH
T1548,benign,2,1,29.67,HIGH
T1548,benign,3,1,29.67,HIGH
T1499,attack,1,1,29.88,HIGH
T1499,attack,2,1,29.67,HIGH
T1499,attack,3,1,29.27,HIGH
T1499,benign,1,0,60.18,
T1499,benign,2,0,60.17,
T1499,benign,3,0,60.16,
T1496,attack,1,1,29.87,HIGH
T1496,attack,2,1,29.87,HIGH
T1496,attack,3,1,29.67,HIGH
T1613,attack,1,1,0.0,MEDIUM
T1613,attack,2,1,0.0,MEDIUM
T1613,attack,3,1,0.0,MEDIUM
T1548-PRIV-POD,attack,1,1,0.0,HIGH
T1548-PRIV-POD,attack,2,1,0.0,HIGH
T1548-PRIV-POD,attack,3,1,0.0,HIGH
T1548.005,attack,1,1,0.0,CRITICAL
T1548.005,attack,2,1,0.0,CRITICAL
T1548.005,attack,3,1,0.0,CRITICAL
