fault_type,rep,t_injected_iso,t_health_detected_sec,t_health_recovered_sec,t_functional_recovered_sec,alerts_during_fault,alerts_before,alerts_during,alerts_after
tetragon-consumer-kill,1,2026-07-26T19:50:10.957275,0.5,2.0,26.6,1,597,598,600
tetragon-consumer-kill,2,2026-07-26T19:50:57.866150,0.5,2.0,9.9,1,601,602,604
tetragon-consumer-kill,3,2026-07-26T19:51:27.872727,0.0,2.0,10.0,0,604,604,608
tetragon-consumer-kill,4,2026-07-26T19:51:57.983681,0.5,2.0,10.0,1,608,609,612
tetragon-consumer-kill,5,2026-07-26T19:52:28.088579,0.5,2.0,10.1,1,612,613,616
audit-log-truncate,1,2026-07-26T19:52:58.362157,65.0,,219.9,3,616,619,626
audit-log-truncate,2,2026-07-26T19:56:59.384782,68.0,,250.1,3,626,629,638
audit-log-truncate,3,2026-07-26T20:01:30.869561,40.8,,219.9,2,638,640,647
audit-log-truncate,4,2026-07-26T20:05:31.959185,44.3,,220.1,2,648,650,657
audit-log-truncate,5,2026-07-26T20:09:33.331156,47.4,,220.0,2,658,660,667
control-plane-outage,1,2026-07-26T20:13:34.509092,50.7,,250.0,0,668,668,676
control-plane-outage,2,2026-07-26T20:18:06.444919,55.0,,251.9,0,677,677,685
control-plane-outage,3,2026-07-26T20:22:40.063342,57.0,,250.0,0,686,686,694
control-plane-outage,4,2026-07-26T20:27:10.237830,62.4,,249.9,0,695,695,702
control-plane-outage,5,2026-07-26T20:31:43.121658,66.0,,249.9,0,702,702,709
