person,technique,trial,t0_iso,t1_iso,latency_sec,matched_line
personB,T1059,1,2026-07-26T18:27:40.680893,2026-07-26T18:28:08.056388,27.311,"2026-07-26 18:28:07,918 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,2,2026-07-26T18:28:10.057128,2026-07-26T18:28:38.205501,28.06,"2026-07-26 18:28:38,006 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,3,2026-07-26T18:28:40.206041,2026-07-26T18:29:08.283214,27.992,"2026-07-26 18:29:08,092 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,4,2026-07-26T18:29:10.288796,2026-07-26T18:29:38.329097,27.96,"2026-07-26 18:29:38,172 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,5,2026-07-26T18:29:40.329779,2026-07-26T18:30:08.380978,27.953,"2026-07-26 18:30:08,271 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,6,2026-07-26T18:30:10.381627,2026-07-26T18:30:38.532260,28.082,"2026-07-26 18:30:38,339 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,7,2026-07-26T18:30:40.532861,2026-07-26T18:31:08.533748,27.929,"2026-07-26 18:31:08,411 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,8,2026-07-26T18:31:10.534324,2026-07-26T18:31:38.586283,27.972,"2026-07-26 18:31:38,490 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,9,2026-07-26T18:31:40.586798,2026-07-26T18:32:08.812355,28.106,"2026-07-26 18:32:08,610 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,10,2026-07-26T18:32:10.813078,2026-07-26T18:32:38.845427,27.954,"2026-07-26 18:32:38,689 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,11,2026-07-26T18:32:40.846158,2026-07-26T18:33:08.885862,27.947,"2026-07-26 18:33:08,782 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,12,2026-07-26T18:33:10.886635,2026-07-26T18:33:38.893675,27.913,"2026-07-26 18:33:38,876 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,13,2026-07-26T18:33:40.894271,2026-07-26T18:34:09.126911,28.109,"2026-07-26 18:34:08,999 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,14,2026-07-26T18:34:11.127506,2026-07-26T18:34:39.100156,27.883,"2026-07-26 18:34:39,088 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,15,2026-07-26T18:34:41.100689,2026-07-26T18:35:09.310545,28.109,"2026-07-26 18:35:09,190 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,16,2026-07-26T18:35:11.311155,2026-07-26T18:35:39.382613,27.929,"2026-07-26 18:35:39,332 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,17,2026-07-26T18:35:41.383243,2026-07-26T18:36:09.622510,28.114,"2026-07-26 18:36:09,459 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,18,2026-07-26T18:36:11.623031,2026-07-26T18:36:39.673951,27.943,"2026-07-26 18:36:39,569 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,19,2026-07-26T18:36:41.674509,2026-07-26T18:37:09.867814,28.085,"2026-07-26 18:37:09,675 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,20,2026-07-26T18:37:11.876876,2026-07-26T18:37:39.947168,27.933,"2026-07-26 18:37:39,811 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1552,1,2026-07-26T18:37:41.947803,2026-07-26T18:37:42.131153,0.183,"2026-07-26 18:37:42,114 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,2,2026-07-26T18:37:44.131723,2026-07-26T18:37:44.327254,0.196,"2026-07-26 18:37:44,312 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,3,2026-07-26T18:37:46.327880,2026-07-26T18:37:46.489017,0.161,"2026-07-26 18:37:46,475 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,4,2026-07-26T18:37:48.489656,2026-07-26T18:37:48.657418,0.168,"2026-07-26 18:37:48,643 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,5,2026-07-26T18:37:50.658197,2026-07-26T18:37:50.853208,0.195,"2026-07-26 18:37:50,839 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,6,2026-07-26T18:37:52.853868,2026-07-26T18:37:53.040850,0.187,"2026-07-26 18:37:53,027 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,7,2026-07-26T18:37:55.041416,2026-07-26T18:37:55.220201,0.179,"2026-07-26 18:37:55,206 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,8,2026-07-26T18:37:57.353469,2026-07-26T18:37:57.545558,0.192,"2026-07-26 18:37:57,532 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,9,2026-07-26T18:37:59.546046,2026-07-26T18:37:59.724839,0.179,"2026-07-26 18:37:59,711 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,10,2026-07-26T18:38:01.725353,2026-07-26T18:38:01.893025,0.168,"2026-07-26 18:38:01,879 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,11,2026-07-26T18:38:03.893983,2026-07-26T18:38:04.069533,0.176,"2026-07-26 18:38:04,055 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,12,2026-07-26T18:38:06.070145,2026-07-26T18:38:06.249076,0.179,"2026-07-26 18:38:06,234 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,13,2026-07-26T18:38:08.249597,2026-07-26T18:38:08.433982,0.184,"2026-07-26 18:38:08,419 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,14,2026-07-26T18:38:10.434614,2026-07-26T18:38:10.617928,0.183,"2026-07-26 18:38:10,603 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,15,2026-07-26T18:38:12.618694,2026-07-26T18:38:12.813787,0.195,"2026-07-26 18:38:12,799 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,16,2026-07-26T18:38:14.814359,2026-07-26T18:38:15.062320,0.248,"2026-07-26 18:38:15,042 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,17,2026-07-26T18:38:17.063040,2026-07-26T18:38:17.322051,0.259,"2026-07-26 18:38:17,307 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,18,2026-07-26T18:38:19.322567,2026-07-26T18:38:19.485928,0.163,"2026-07-26 18:38:19,471 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,19,2026-07-26T18:38:21.486620,2026-07-26T18:38:21.665323,0.179,"2026-07-26 18:38:21,650 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,20,2026-07-26T18:38:23.665903,2026-07-26T18:38:23.845094,0.179,"2026-07-26 18:38:23,831 WARNING [HIGH] T1552: Secret access by default/attacker"
