person,technique,trial,t0_iso,t1_iso,latency_sec,matched_line
personB,T1059,1,2026-07-25T20:16:10.058010,2026-07-25T20:16:39.437095,29.398,"2026-07-25 20:16:39,239 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,2,2026-07-25T20:16:41.438824,2026-07-25T20:17:11.383000,29.941,"2026-07-25 20:17:11,234 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,3,2026-07-25T20:17:13.388352,2026-07-25T20:17:43.284520,29.89,"2026-07-25 20:17:43,237 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,4,2026-07-25T20:17:45.287296,2026-07-25T20:18:15.279698,29.983,"2026-07-25 20:18:15,248 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,5,2026-07-25T20:18:17.296298,2026-07-25T20:18:47.352289,30.041,"2026-07-25 20:18:47,296 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,6,2026-07-25T20:18:49.353770,2026-07-25T20:19:19.429176,30.067,"2026-07-25 20:19:19,274 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,7,2026-07-25T20:19:21.431247,2026-07-25T20:19:51.379461,29.95,"2026-07-25 20:19:51,271 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1059,8,2026-07-25T20:19:53.382859,2026-07-25T20:20:23.394717,30.011,"2026-07-25 20:20:23,273 WARNING [MEDIUM] T1059: Shell in default/attacker (preceded by kubectl exec)"
personB,T1552,1,2026-07-25T20:20:25.395753,2026-07-25T20:20:25.822716,0.427,"2026-07-25 20:20:25,781 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,2,2026-07-25T20:20:27.824314,2026-07-25T20:20:28.203636,0.379,"2026-07-25 20:20:28,173 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,3,2026-07-25T20:20:30.205555,2026-07-25T20:20:30.633393,0.428,"2026-07-25 20:20:30,599 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,4,2026-07-25T20:20:32.634374,2026-07-25T20:20:33.048133,0.414,"2026-07-25 20:20:33,024 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,5,2026-07-25T20:20:35.049396,2026-07-25T20:20:35.465579,0.416,"2026-07-25 20:20:35,436 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,6,2026-07-25T20:20:37.467247,2026-07-25T20:20:37.910849,0.444,"2026-07-25 20:20:37,878 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,7,2026-07-25T20:20:39.912534,2026-07-25T20:20:40.326407,0.414,"2026-07-25 20:20:40,284 WARNING [HIGH] T1552: Secret access by default/attacker"
personB,T1552,8,2026-07-25T20:20:42.328088,2026-07-25T20:20:42.731083,0.403,"2026-07-25 20:20:42,674 WARNING [HIGH] T1552: Secret access by default/attacker"
