timestamp,phase,component,cpu_pct,rss_mb
2026-07-25T20:49:30.847594,baseline_cage_off,server,0.0,0.0
2026-07-25T20:49:30.856760,idle_pre,server,1.4,91.9
2026-07-25T20:49:35.860943,idle_pre,server,1.4,91.9
2026-07-25T20:49:40.865786,idle_pre,server,1.4,91.9
2026-07-25T20:49:45.870897,idle_pre,server,1.4,91.9
2026-07-25T20:49:50.875970,idle_pre,server,1.4,91.9
2026-07-25T20:49:55.898007,idle_pre,server,1.4,91.9
2026-07-25T20:50:00.902652,idle_pre,server,1.4,91.9
2026-07-25T20:50:05.907772,idle_pre,server,1.4,91.9
2026-07-25T20:50:10.912164,idle_pre,server,1.4,91.9
2026-07-25T20:50:15.916501,idle_pre,server,1.4,91.9
2026-07-25T20:50:20.927151,idle_pre,server,1.4,91.9
2026-07-25T20:50:25.949594,idle_pre,server,1.4,91.9
2026-07-25T20:50:30.955101,active,server,1.4,91.9
2026-07-25T20:50:35.959513,active,server,1.4,92.1
2026-07-25T20:50:40.965026,active,server,1.4,92.1
2026-07-25T20:50:45.969890,active,server,1.4,92.1
2026-07-25T20:50:50.974652,active,server,1.4,92.1
2026-07-25T20:50:56.026569,active,server,1.4,92.1
2026-07-25T20:51:01.031186,active,server,1.4,92.1
2026-07-25T20:51:06.035982,active,server,1.4,92.1
2026-07-25T20:51:11.040234,active,server,1.4,92.1
2026-07-25T20:51:16.044769,active,server,1.4,92.1
2026-07-25T20:51:21.050141,active,server,1.4,92.1
2026-07-25T20:51:26.067909,active,server,1.4,92.2
2026-07-25T20:51:31.072399,active,server,1.4,92.4
2026-07-25T20:51:36.076754,active,server,1.4,92.4
2026-07-25T20:51:41.081338,active,server,1.4,92.4
2026-07-25T20:51:46.085913,active,server,1.4,92.4
2026-07-25T20:51:51.090489,active,server,1.4,92.4
2026-07-25T20:51:56.110356,active,server,1.5,92.4
2026-07-25T20:52:01.115088,active,server,1.5,92.4
2026-07-25T20:52:06.119581,active,server,1.5,92.4
2026-07-25T20:52:11.124641,active,server,1.5,92.4
2026-07-25T20:52:16.129173,active,server,1.5,92.4
2026-07-25T20:52:21.133532,active,server,1.5,92.4
2026-07-25T20:52:26.154290,active,server,1.5,92.4
2026-07-25T20:52:31.158584,active,server,1.5,92.4
2026-07-25T20:52:36.163084,idle_post,server,1.5,92.4
2026-07-25T20:52:41.168415,idle_post,server,1.5,92.4
2026-07-25T20:52:46.173460,idle_post,server,1.5,92.4
2026-07-25T20:52:51.179152,idle_post,server,1.5,92.4
2026-07-25T20:52:56.200048,idle_post,server,1.5,92.4
2026-07-25T20:53:01.205660,idle_post,server,1.5,92.4
2026-07-25T20:53:06.210540,idle_post,server,1.5,92.4
2026-07-25T20:53:11.217675,idle_post,server,1.5,92.4
2026-07-25T20:53:16.224248,idle_post,server,1.5,92.6
2026-07-25T20:53:21.234389,idle_post,server,1.5,92.6
2026-07-25T20:53:26.262287,idle_post,server,1.5,92.6
2026-07-25T20:53:31.267446,idle_post,server,1.5,92.6
