n_scan_target_pods,n_total_monitored_pods,cycle_gap_sec,target_interval_sec
1,3,4.0,5
1,3,6.12,5
1,3,4.0,5
1,3,2.0,5
1,3,4.0,5
1,3,6.0,5
1,3,4.0,5
1,3,6.12,5
1,3,6.0,5
2,4,4.0,5
2,4,6.0,5
2,4,4.13,5
2,4,6.0,5
2,4,2.0,5
2,4,4.0,5
2,4,6.0,5
2,4,4.0,5
2,4,6.0,5
4,6,6.0,5
4,6,4.0,5
4,6,6.0,5
4,6,6.12,5
4,6,6.0,5
4,6,4.0,5
4,6,6.0,5
4,6,4.0,5
4,6,6.0,5
8,10,6.0,5
8,10,4.0,5
8,10,6.0,5
8,10,6.0,5
8,10,6.13,5
8,10,4.0,5
8,10,6.0,5
8,10,6.0,5
8,10,4.0,5
16,18,4.0,5
16,18,6.0,5
16,18,4.0,5
16,18,6.0,5
16,18,2.0,5
16,18,6.12,5
16,18,4.0,5
16,18,6.0,5
16,18,6.0,5
